arc_id,tail,head,mean_cost,latent
0,0,1,6.5340906475768845,0
1,0,2,9.307741500498125,0
2,0,3,2.467624312892272,0
3,0,11,2.527570735732581,0
4,1,0,6.5340906475768845,0
5,1,2,4.1021312536310734,0
6,1,8,3.465887041365196,0
7,2,1,4.1021312536310734,0
8,2,3,10.727582235522382,0
9,2,4,7.081756176116707,0
10,2,5,10.028928500897685,0
11,2,9,2.323414101427531,0
12,2,11,7.920489540310602,0
13,3,2,10.727582235522382,0
14,3,4,6.915699105723504,0
15,3,8,7.9036319833778235,0
16,4,1,6.210225485094755,0
17,4,3,6.915699105723504,0
18,4,5,6.013391545292334,0
19,4,6,6.390814434589074,0
20,5,0,2.1420913968937128,0
21,5,2,10.028928500897685,0
22,5,3,1.902525597567972,0
23,5,4,6.013391545292334,0
24,5,6,4.394189700013543,0
25,5,7,4.720500270697268,0
26,6,1,4.631544717438478,0
27,6,5,4.394189700013543,0
28,6,7,7.309208356093667,0
29,7,3,5.391745194893921,0
30,7,5,4.720500270697268,0
31,7,6,7.309208356093667,0
32,7,8,7.446584365029189,0
33,7,10,8.500360198327197,0
34,8,1,3.465887041365196,0
35,8,3,7.9036319833778235,0
36,8,6,5.550874658299442,0
37,8,7,7.446584365029189,0
38,8,9,3.795637261485646,0
39,8,10,4.111381105060318,0
40,9,0,9.329301886044503,0
41,9,2,2.323414101427531,0
42,9,3,10.679174942154837,0
43,9,4,6.303227558617738,0
44,9,5,9.906836824287911,0
45,9,8,3.795637261485646,0
46,9,10,3.6390620447550344,0
47,10,5,9.503897219981386,0
48,10,9,3.6390620447550344,0
49,10,11,8.363874628823352,0
50,11,3,3.990302008385748,0
51,11,7,6.410288775138893,0
52,11,10,8.363874628823352,0
53,10,3,6.745121008857067,1
54,4,9,4.09709791310153,1
55,0,7,3.6428948333086697,1
56,6,8,3.608068527894637,1
