success,status,objective,route_arc_times,message,replication,scenario_id
True,0,1.8329010661850502,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0
True,0,2.7020457443834016,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1
True,0,2.856934621509585,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,2
True,0,2.049170888727118,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,3
True,0,2.4652448418040973,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,4
True,0,3.1730522654329034,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,5
True,0,3.263071952972376,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,6
True,0,2.168003957383081,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,7
True,0,2.056567652972834,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,8
True,0,1.6056157574090915,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,9
True,0,2.4397397277837016,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,10
True,0,3.882331573861162,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,11
True,0,3.141681251199307,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,12
True,0,3.48525026421877,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,13
True,0,2.4347334219072776,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,14
True,0,1.9970625752235076,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,15
True,0,3.3042282135141687,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,16
True,0,2.0234853372255475,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,17
True,0,2.0348958009571483,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,18
True,0,3.3030613588630118,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),0,19
True,0,3.4449841991048324,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,20
True,0,2.3276339812497073,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,21
True,0,1.8585685483204797,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,22
True,0,2.7057029357081817,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,23
True,0,2.6754386248658406,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,24
True,0,1.8940213853726187,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,25
True,0,2.6543489772042745,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,26
True,0,1.9111835167687097,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,27
True,0,2.1767361787593273,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,28
True,0,2.0444132960030323,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,29
True,0,2.911570480895433,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,30
True,0,2.0982256559102583,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,31
True,0,2.9448162985345676,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,32
True,0,2.1973134644430594,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,33
True,0,2.485760531035426,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,34
True,0,2.538021512912222,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,35
True,0,2.166438411850974,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,36
True,0,2.0951641212081955,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,37
True,0,2.266867214356203,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,38
True,0,2.4371300156031253,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),1,39
True,0,2.1662692935384045,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,40
True,0,1.8824392343108474,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,41
True,0,3.5491590212484523,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,42
True,0,1.4802885958608392,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,43
True,0,2.3366927895328504,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,44
True,0,4.270260626466378,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,45
True,0,1.9140949465735793,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,46
True,0,2.0035393523106126,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,47
True,0,1.9587442177202976,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,48
True,0,2.486096731463712,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,49
True,0,3.525019117272303,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,50
True,0,2.157381676398409,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,51
True,0,5.1237081097038555,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,52
True,0,2.7587254913510684,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,53
True,0,3.327491819980321,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,54
True,0,1.2079465358886903,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,55
True,0,3.161165670855991,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,56
True,0,1.5493264227190813,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,57
True,0,1.9534923134374151,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,58
True,0,2.2700330857075657,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),2,59
True,0,2.9374214288424034,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,60
True,0,2.5201138926733258,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,61
True,0,2.640382113062775,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,62
True,0,2.8947243159542912,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,63
True,0,3.3427122319237452,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,64
True,0,2.271370546687686,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,65
True,0,2.355817591412964,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,66
True,0,2.347065118380848,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,67
True,0,2.148117000553699,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,68
True,0,2.290020105602305,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,69
True,0,3.0803146214993884,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,70
True,0,2.498666735461537,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,71
True,0,2.2925090340279937,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,72
True,0,3.496896812649307,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,73
True,0,2.1741461127724877,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,74
True,0,2.4474728076870815,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,75
True,0,3.9831695930210356,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,76
True,0,1.4256696248960241,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,77
True,0,3.906691688534771,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,78
True,0,3.5335416653276983,"[(3, 0)]",Optimization terminated successfully. (HiGHS Status 7: Optimal),3,79
